Driver,Public_T,Work_Home,Area,Year,Time_min
70.2,21.7,3.4,Alexandria,2009,29
61.3,26.6,4.8,Arlington Co.,2009,26.2
83.8,8.9,4.5,Fairfax Co.,2009,31
76.4,15,5.2,Montgomery Co.,2009,33
76.8,17.4,2.7,Prince George's,2009,35.7
62.6,29.2,3.9,Silver Spring,2009,34.6
43.8,37.1,4.7,DC,2009,29.4
67.2,21.7,5,Alexandria,2015,30.8
60.2,26.4,5.8,Arlington Co.,2015,28.1
81.1,9.8,5.8,Fairfax Co.,2015,32
75.2,15.8,5.6,Montgomery Co.,2015,34.5
77.1,17.2,2.6,Prince George's,2015,36.5
61.7,29.1,4.4,Silver Spring,2015,34.3
39.5,37.4,5,DC,2015,29.7
