drop,replace,Table_1,Table_2,Derog1,Derog2
",",,The-2-Live-Crew,2-Live-Crew,nigga,money
. . .,-&-,Jack-Swing,Jack-Swing-PT-2,shit,power
(,--,The-Humpty,Humpty,bitch,respect
),,Playing-Tricks-On,Playin-Tricks-On,fuck,gold
.,,F-ck,Fuck,niggaz,ballin
And,,F**k,Fuck,motherfuck,sex
!!,,S**t,Shit,n****,
],,Intl,International,fuckin,
[,,CL-Smooth,And-CL-Smooth,,
!,,Your-Gunz,Ya-Gunz,,
?!,,Getz-Buzy,Getz-Busy,,
?,,The-Pharcyde,Pharcyde,,
+,,Whats-My-Name,Who-Am-I-Whats-My-Name,,
,,Gin-Juice,Gin-And-Juice,,
,,Warren-G-Nate-Dogg,Warren-G,,
,,Method-Man-Mary-J-Blige,Method-Man,,
,,Ill-Be-There-For-You,Ill-Be-There-For-YouYoure-All-I-Need-To-Get-By,,
,,Coolio-LV,Coolio,,
,,Gangstas-Paradise-From-Dangerous-Mind,Gangstas-Paradise,,
,,Puff-Daddy-Faith-Evans,Puff-Daddy,,
,,Magoo-Timbaland,Timbaland-Magoo,,
,,Da-Boogie,Da-Boogie-Remix,,
,,Puff-Daddy-The-Family,Puff-Daddy,,
,,Deja-Vu-Uptown-Baby,Deja-Vu,,
,,SuperThug-What-What,Superthug,,
,,Mo-Thugs-Family,Mo-Thugs,,
,,No-Pigeons,No-Pigeons-Parody-Of-Tlcs-No-Scrubs,,
,,Jigga-My-N****,Jigga-My-Nigga,,
,,Missy-Misdemeanor-Elliott,Missy-Elliott,,
,,Talib-Kweli-Hi-Tek,Talib-Kweli,,
,,Mos-Def-Pharoahe-Monch,Mos-Def,,
,,Feels-Good-Dont-Worry-Bout-A-Thing,Feels-Good,,
,,Lil-Jon-The-East-Side,Lil-Jon-Eastside,,
,,J-Kwon,Jkwon,,
,,R-Kelly-Or-Bow-Wow,R-Kelly,,
,,Soulja-Boy-Tellem,Soulja-Boy,,
,,Dead-Gone,Dead-And-Gone,,
,,The-Black-Eyed-Peas,Black-Eyed-Peas,,
,,Jay-Z,JayZ,,
,,JayZ-Rihanna-Kanye-West,JayZ,,
,,JayZ-Alicia-Keys,JayZ,,
,,Black-Yellow,Black-And-Yellow,,
,,JayZ-Kanye-West,JayZ,,
,,Ni**as-in-Paris,Niggas-In-Paris,,
,,Ca$h-Out,Cash-Out,,
,,The-Monster,Monster,,
,,Pitbull-Ne-Yo,Pitbull,,
,,G-Eazy-x-Bebe-Rexha,G-Eazy,,
,,Lil-Wayne-Wiz-Khalifa-Imagine-Dragons-With-Logic-Ty-Dolla-$ign,Lil-Wayne,,
,,The-Notorious-BIG,Notorious-BIG,,
,,Kanye-West-Big-Sean-Pusha-T-2-Chainz,Kanye-West,,
,,Nelly-P-Diddy-Murphy-Lee,Nelly,,
,,Kris,Kriss,,
,,Turn-It-Up-Remix,Turn-It-Up,,
,,Keep-Their-Heads-Ringin-From-Friday,Keep-Their-Headz-Ringin,,
,,I-Dont-F**k-With-You,I-Dont-Fuck-With-You,,
,,Paradises,Paradise,,
