noun,uniqueMentions,totalMentions,sumPolarity,sumSubjectivity
Enbala,4.0,16.0,0.773484848485,2.89772727273
Sonnen,3.0,5.0,0.875,0.975
Tendril,2.0,4.0,0.096626984127,0.592063492063
Lucid,1.0,4.0,-0.101851851852,1.16296296296
Blue Pillar,3.0,3.0,0.783333333333,1.55416666667
Proterra,2.0,3.0,0.0,0.0
Renovate America,2.0,2.0,-0.325,0.775
Bidgely,1.0,1.0,0.0416666666667,0.425
Clean Energy Collective,1.0,1.0,0.222222222222,0.461111111111
Advanced Microgrid Solutions,1.0,1.0,0.25,0.4875
Renew Financial,1.0,1.0,0.0,0.0
Aquion Energy,1.0,1.0,0.0,0.0
Skeleton Technologies,1.0,1.0,-0.0777777777778,0.519444444444
Airbnb,1.0,1.0,0.116666666667,0.227777777778
Stem,1.0,1.0,0.214285714286,0.642857142857
