OVRank,State,Tscore,EPRank,WERank,CERank
1,utah,71.02,4,1,2
2,minnesota,69.09,1,9,5
3,north dakota,67.95,11,2,1
4,hawaii,66.63,2,20,3
5,colorado,61.59,3,18,36
6,idaho,60.93,24,3,4
7,iowa,60.92,14,5,14
8,nebraska,60.65,12,8,18
9,south dakota,60.08,9,6,35
10,california,59.96,5,37,6
11,new hampshire,59.5,7,21,16
12,washington,59.26,20,13,7
13,wyoming,59.24,17,19,8
14,vermont,58.01,10,22,30
15,wisconsin,57.8,19,17,11
16,massachusetts,57.42,15,26,17
17,connecticut,57.04,13,39,12
18,district of columbia,57.01,8,35,26
19,delaware,57.01,21,7,31
20,new jersey,56.82,6,42,24
21,virginia,56.61,22,23,10
22,montana,55.49,25,4,42
23,maryland,55.14,16,39,22
24,kansas,54.55,23,15,40
25,illinois,52.6,26,41,23
26,new york,52.54,27,44,13
27,rhode island,52.37,31,33,15
28,alaska,52.23,18,38,46
29,texas,52.23,33,27,20
30,north carolina,52.16,32,30,21
31,arizona,51.51,28,31,38
32,oregon,51.4,36,16,29
33,maine,51.32,30,36,27
34,pennsylvania,49.98,38,32,9
35,florida,49.14,29,45,41
36,nevada,48.23,35,43,32
37,georgia,47.43,34,47,37
38,south carolina,47.06,39,29,25
39,ohio,46.04,42,25,19
40,indiana,45.94,44,12,33
41,new mexico,45.02,37,51,43
42,missouri,44.58,41,14,47
43,michigan,44.17,40,24,49
44,oklahoma,41.36,47,10,39
45,tennessee,39.96,45,28,45
46,louisiana,39.03,43,50,50
47,akansas,38.22,49,11,48
48,mississippi,36.05,46,34,51
49,kentucky,35.08,50,46,34
50,alabama,34.15,48,49,44
51,west virginia,32.65,51,48,28
